# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  --cpu 16 -i GUT_GENOME000001/roary_90/pan_genome_reference.faa -m diamond -o funcs_annotation_eggNOG --output_dir GUT_GENOME000001/roary_90 --temp_dir GUT_GENOME000001/roary_90
# time: Sun Apr 28 01:15:45 2019
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GUT_GENOME000001_00001	272563.CD3404	1.7e-200	704.1	CLS	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006644,GO:0006650,GO:0006655,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0008808,GO:0009058,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016772,GO:0016780,GO:0019637,GO:0019752,GO:0030572,GO:0032048,GO:0032049,GO:0032502,GO:0032787,GO:0043436,GO:0043934,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044464,GO:0044699,GO:0044710,GO:0044711,GO:0044767,GO:0045017,GO:0046394,GO:0046471,GO:0046474,GO:0046486,GO:0071704,GO:0071944,GO:0072330,GO:0090407,GO:1901576	K06131	CLPNS120pp,CLPNS160pp,CLPNS161pp,CLPNS180pp,CLPNS181pp	bactNOG[38]	05CQX@bactNOG,0EPJD@cloNOG,0ND7P@firmNOG,COG1502@NOG	NA|NA|NA	I	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity)
GUT_GENOME000001_00002	243275.TDE0999	1.1e-74	285.4	FOCA	GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015499,GO:0015711,GO:0015718,GO:0015724,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0022892,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944	K02598,K03459,K06212	FORt,FORt2,FORt2pp,FORti,FORtppi	bactNOG[38]	05TMB@bactNOG,COG2116@NOG	NA|NA|NA	P	Formate nitrite transporter
GUT_GENOME000001_00003	272563.CD3403	1.2e-91	341.7	FOCA	GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015499,GO:0015711,GO:0015718,GO:0015724,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0022892,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944	K02598,K03459,K06212	FORt,FORt2,FORt2pp,FORti,FORtppi	bactNOG[38]	05TMB@bactNOG,0EQ07@cloNOG,0NDIP@firmNOG,COG2116@NOG	NA|NA|NA	P	Formate nitrite transporter
GUT_GENOME000001_00004	272563.CD3402	2.4e-128	463.8	MURB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K00075	UAPGR	bactNOG[38]	05D4A@bactNOG,0EPDE@cloNOG,0NDUH@firmNOG,COG0812@NOG	NA|NA|NA	M	Cell wall formation (By similarity)
GUT_GENOME000001_00005	272563.CD3401	1.6e-100	370.9	HIS2		K02347,K04477		bactNOG[38]	05DCG@bactNOG,0EQ6S@cloNOG,0NFDD@firmNOG,COG1387@NOG	NA|NA|NA	L	PHP domain protein
GUT_GENOME000001_00006	272563.CD3400	3.8e-144	516.2	YHBJ	GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0048518,GO:0050789,GO:0065007,GO:0071704,GO:0071944,GO:0090304,GO:1901360	K06958		bactNOG[38]	05C21@bactNOG,0ENRK@cloNOG,0ND8A@firmNOG,COG1660@NOG	NA|NA|NA	S	Displays ATPase and GTPase activities (By similarity)
GUT_GENOME000001_00007	272563.CD3399	1.5e-156	557.8	YBHK				bactNOG[38]	05CHW@bactNOG,0ENXS@cloNOG,0NDQB@firmNOG,COG0391@NOG	NA|NA|NA	S	Uncharacterised protein family UPF0052
GUT_GENOME000001_00008	272563.CD3398	3.6e-71	272.7	CG3417		K01518,K03574,K18445		bactNOG[38]	08WNV@bactNOG,0ETYM@cloNOG,0NK8R@firmNOG,COG0494@NOG	NA|NA|NA	L	Hydrolase, NUDIX family
GUT_GENOME000001_00009	272563.CD3397	5.8e-138	495.7	WHIA	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0043937,GO:0044464,GO:0050789,GO:0050793,GO:0065007,GO:0071944	K09762		bactNOG[38]	05CIE@bactNOG,0EP99@cloNOG,0NDR7@firmNOG,COG1481@NOG	NA|NA|NA	K	May be required for sporulation (By similarity)
GUT_GENOME000001_00010	272563.CD3396	0.0	1935.6	DNAE	GO:0003674,GO:0003824,GO:0003887,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016779,GO:0030312,GO:0032991,GO:0034061,GO:0034641,GO:0034645,GO:0040007,GO:0042575,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901576	K02337,K14162		bactNOG[38]	05C0B@bactNOG,0ENTN@cloNOG,0NDIW@firmNOG,COG0587@NOG	NA|NA|NA	L	DNA polymerase iii
